                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                0.84273,                0.62687,                0.94449,                0.88888,                0.78233,                0.91272,                0.59795,                0.81181,                0.76411,                0.96795,              0.0010694,              0.0010694,              0.0010694
                    144,                 0.8379,                0.62226,                0.94698,                0.89411,                0.77977,                0.91282,                 0.5854,                0.86096,                0.78558,                 0.9839,              0.0010628,              0.0010628,              0.0010628
                    145,                   0.83,                0.63561,                0.94777,                0.88413,                0.78233,                0.91282,                0.58976,                0.84226,                0.76386,                0.97226,              0.0010562,              0.0010562,              0.0010562
                    146,                0.81571,                0.62984,                0.93707,                0.88785,                0.78051,                 0.9102,                0.58893,                 0.9196,                0.71525,                 1.0129,              0.0010496,              0.0010496,              0.0010496
                    147,                0.83743,                0.61712,                0.94779,                0.88771,                0.77721,                0.90843,                0.59531,                0.90696,                0.73263,                 1.0207,               0.001043,               0.001043,               0.001043
                    148,                0.83317,                0.63261,                0.94362,                0.89239,                0.78575,                0.91336,                0.59091,                0.89226,                0.75081,                0.99632,              0.0010364,              0.0010364,              0.0010364
                    149,                0.83306,                0.62055,                0.93968,                0.88554,                0.78489,                0.91299,                0.57721,                 0.9203,                0.73434,                 1.0163,              0.0010298,              0.0010298,              0.0010298
                    150,                0.85454,                0.63345,                0.95107,                0.88859,                0.78617,                0.91484,                0.58395,                0.91171,                0.74227,                 1.0303,              0.0010232,              0.0010232,              0.0010232
                    151,                0.83607,                 0.6302,                0.94744,                0.87785,                0.78105,                0.90225,                0.58295,                0.88721,                0.76439,                0.99856,              0.0010166,              0.0010166,              0.0010166
                    152,                0.82509,                0.63988,                0.93525,                0.88332,                0.77721,                0.90784,                0.59537,                 0.8833,                0.73921,                0.99419,                0.00101,                0.00101,                0.00101
